year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,7,9,1553,233,1934,267,UA,N560UA,580,JFK,SFO,350,2586,15,53
2013,5,6,904,-2,1209,6,UA,N409UA,410,EWR,IAH,192,1400,9,4
2013,12,11,1854,-6,2344,-15,AA,N5ETAA,1029,JFK,SJU,201,1598,18,54
2013,8,14,1154,-6,1453,-14,UA,N596UA,580,JFK,SFO,335,2586,11,54
2013,7,29,926,31,1240,35,AA,N5FNAA,647,JFK,MIA,157,1089,9,26
2013,6,18,1057,32,1311,66,AA,N567AA,325,LGA,ORD,115,733,10,57
2013,3,31,1658,-2,1917,-7,DL,N308DE,2042,EWR,ATL,116,746,16,58
2013,10,19,1558,13,1932,-10,DL,N3747D,4,JFK,SJU,188,1598,15,58
2013,5,28,1247,-3,1433,-29,UA,N76529,1444,EWR,MSY,149,1167,12,47
2013,2,7,1546,-4,2019,-31,AA,N5CAAA,1635,JFK,SJU,185,1598,15,46
2013,7,9,750,-5,1055,-20,AA,N320AA,59,JFK,SFO,341,2586,7,50
2013,2,21,558,-2,836,-1,DL,N646DL,461,LGA,ATL,120,762,5,58
2013,11,20,1616,-4,1920,45,DL,N960DL,1619,LGA,MSP,192,1020,16,16
2013,8,15,826,-4,1120,0,UA,N492UA,538,EWR,MCO,138,937,8,26
2013,11,3,959,-6,1200,-15,DL,N360NW,2319,LGA,MSP,150,1020,9,59
2013,5,16,958,-2,1326,-3,DL,N702TW,1765,JFK,SFO,349,2586,9,58
2013,12,2,1950,21,2232,10,DL,N377DA,1729,JFK,LAS,320,2248,19,50
2013,7,26,954,-6,1127,8,US,N742PS,2169,LGA,DCA,41,214,9,54
2013,10,16,954,3,1152,-15,UA,N468UA,310,EWR,DEN,216,1605,9,54
2013,12,22,1722,46,2036,10,UA,N81449,1284,EWR,SFO,355,2565,17,22
2013,1,15,NA,NA,NA,NA,AA,N4YRAA,2083,EWR,DFW,NA,1372,NA,NA
2013,7,10,740,-5,953,-6,DL,N316NB,807,EWR,ATL,95,746,7,40
2013,8,4,1824,-5,2124,-11,UA,N439UA,673,EWR,SNA,306,2434,18,24
2013,9,11,1721,-9,2120,20,DL,N713TW,841,JFK,SFO,330,2586,17,21
2013,1,16,2012,12,2101,-13,US,N956UW,2142,LGA,BOS,33,184,20,12
2013,9,3,1439,-10,1728,-22,UA,N479UA,501,LGA,IAH,211,1416,14,39
2013,10,9,553,-7,709,-21,AA,N501AA,301,LGA,ORD,104,733,5,53
2013,3,8,1748,193,2038,190,UA,N429UA,355,EWR,MCO,125,937,17,48
2013,4,3,754,-6,1059,-26,UA,N555UA,397,JFK,SFO,339,2586,7,54
2013,12,30,604,4,900,-5,AA,N3FAAA,1175,LGA,MIA,158,1096,6,4
2013,3,9,558,-2,709,-24,UA,N464UA,304,LGA,ORD,111,733,5,58
2013,7,30,1529,-1,1909,19,DL,N195DN,95,JFK,LAX,341,2475,15,29
2013,1,13,1452,0,1649,-6,DL,N947DL,1231,LGA,DTW,89,502,14,52
2013,8,22,2054,-1,2310,-31,UA,N437UA,324,EWR,MCO,116,937,20,54
2013,9,25,1357,-3,1649,22,DL,N388DA,2247,LGA,ATL,119,762,13,57
2013,12,15,1200,-3,1450,-16,UA,N472UA,488,EWR,IAH,214,1400,12,0
2013,7,28,1109,-6,1229,-26,AA,N4XBAA,327,LGA,ORD,111,733,11,9
2013,2,1,629,-1,832,-11,US,N173US,1433,LGA,CLT,101,544,6,29
2013,6,13,2157,57,110,65,DL,N193DN,2363,JFK,LAX,313,2475,21,57
2013,10,2,1520,-1,1750,-17,UA,N562UA,242,EWR,IAH,189,1400,15,20
2013,12,31,1015,0,1415,33,US,N657AW,604,EWR,PHX,337,2133,10,15
2013,11,5,1554,-6,1838,-3,DL,N965DL,847,LGA,ATL,122,762,15,54
2013,7,31,2012,43,2246,34,UA,N77431,1182,EWR,LAS,303,2227,20,12
2013,4,7,1142,2,1454,-1,AA,N3CSAA,2099,LGA,MIA,150,1096,11,42
2013,11,30,2046,1,1,-10,UA,N33264,1049,EWR,LAX,343,2454,20,46
2013,2,22,703,-2,908,-20,UA,N402UA,647,EWR,DEN,221,1605,7,3
2013,4,17,1552,-8,1712,-7,US,N951UW,2134,LGA,BOS,33,184,15,52
2013,4,30,1214,4,1501,-9,AA,N502AA,743,LGA,DFW,184,1389,12,14
2013,8,4,1759,-6,1942,-8,AA,N3CGAA,353,LGA,ORD,120,733,17,59
2013,6,11,1914,-1,2131,-40,DL,N3744F,1629,JFK,LAS,292,2248,19,14
2013,7,14,1452,-3,1635,-40,DL,N317NB,127,JFK,DTW,79,509,14,52
2013,4,25,1958,23,2338,49,UA,N17730,1010,EWR,MIA,168,1085,19,58
2013,1,14,553,-7,751,-8,DL,N358NB,731,LGA,DTW,91,502,5,53
2013,7,20,1801,6,2048,3,AA,N3KJAA,785,LGA,DFW,179,1389,18,1
2013,9,8,1859,-6,2100,-37,DL,N3755D,1729,JFK,LAS,274,2248,18,59
2013,6,16,1158,-2,1429,-23,UA,N478UA,263,LGA,IAH,184,1416,11,58
2013,7,20,1704,35,1932,39,US,N549UW,17,JFK,PHX,296,2153,17,4
2013,6,10,721,-4,1016,-24,AA,N323AA,443,JFK,MIA,147,1089,7,21
2013,1,11,1138,-7,1313,-8,FL,N972AT,353,LGA,CAK,77,397,11,38
2013,6,5,554,-6,710,-13,UA,N436UA,405,EWR,ORD,108,719,5,54
2013,10,6,1555,-5,1704,-35,UA,N833UA,269,LGA,ORD,110,733,15,55
2013,9,24,1035,-5,1254,-14,UA,N14230,1409,EWR,LAS,292,2227,10,35
2013,11,24,1709,24,2015,1,DL,N712TW,477,JFK,LAX,327,2475,17,9
2013,12,11,1810,-5,2136,-21,DL,N199DN,426,JFK,LAX,353,2475,18,10
2013,10,24,2053,-7,2150,-21,US,N963UW,2164,LGA,BOS,41,184,20,53
2013,8,9,1559,-1,1807,49,US,N947UW,2154,LGA,BOS,45,184,15,59
2013,10,26,1537,-3,1654,-20,UA,N842UA,685,LGA,ORD,118,733,15,37
2013,10,6,824,-6,1127,-25,UA,N14237,1668,EWR,SFO,326,2565,8,24
2013,10,10,1747,32,1953,16,UA,N569UA,509,LGA,DEN,209,1620,17,47
2013,8,23,1412,12,1522,8,US,N762US,2183,LGA,DCA,43,214,14,12
2013,9,9,1906,6,2130,-2,DL,N920DL,947,LGA,ATL,104,762,19,6
2013,3,29,846,-8,1019,-24,UA,N438UA,649,EWR,CLE,61,404,8,46
2013,9,13,859,0,1134,0,DL,N951DL,1747,LGA,ATL,106,762,8,59
2013,5,17,1754,-1,2117,-3,AA,N3DNAA,1611,LGA,MIA,147,1096,17,54
2013,8,20,1044,0,1310,-9,UA,N572UA,775,EWR,MCO,127,937,10,44
2013,3,22,1550,5,1829,-8,UA,N76505,1593,EWR,MCO,137,937,15,50
2013,12,31,940,-5,1246,-14,AA,N4WSAA,1223,EWR,DFW,221,1372,9,40
2013,9,11,903,3,1123,-10,DL,N327NW,1747,LGA,ATL,106,762,9,3
2013,7,3,2029,134,2254,128,DL,N366NB,926,EWR,ATL,115,746,20,29
2013,6,15,1800,0,2012,-26,DL,N617DL,61,LGA,ATL,101,762,18,0
2013,5,6,1855,-5,2001,-14,US,N724UW,2187,LGA,DCA,40,214,18,55
2013,7,8,2018,18,2215,59,US,N730US,2189,LGA,DCA,43,214,20,18
2013,3,23,1947,-3,2220,5,UA,N11206,1482,EWR,DEN,234,1605,19,47
2013,8,6,1840,-5,2016,-14,AA,N598AA,359,LGA,ORD,120,733,18,40
2013,10,21,921,-8,1226,-8,AA,N4YAAA,1223,EWR,DFW,211,1372,9,21
2013,10,29,1921,-4,2219,-28,DL,N318US,2307,JFK,SAT,219,1587,19,21
2013,7,9,1859,-1,2211,30,UA,N16217,1442,EWR,DFW,166,1372,18,59
2013,2,8,937,29,1436,27,UA,N33714,1519,EWR,STT,203,1634,9,37
2013,5,31,2028,38,2302,5,UA,N33264,1134,EWR,SAN,313,2425,20,28
2013,6,2,2007,117,2256,102,DL,N388DA,2370,LGA,PBI,143,1035,20,7
2013,6,29,1000,0,1253,-22,DL,N721TW,1765,JFK,SFO,322,2586,10,0
2013,2,27,1743,-2,2033,-44,DL,N3760C,2323,JFK,PDX,311,2454,17,43
2013,6,18,1629,94,1908,113,DL,N342NB,127,JFK,DTW,87,509,16,29
2013,6,23,2017,17,4,49,AA,N3AEAA,1709,LGA,MIA,161,1096,20,17
2013,8,28,1726,-3,1937,-10,UA,N72405,1635,EWR,PHX,277,2133,17,26
2013,2,23,611,-4,807,-18,DL,N927DA,1919,LGA,MSP,157,1020,6,11
2013,4,21,1858,-2,2105,-29,DL,N332NB,1051,JFK,MSY,168,1182,18,58
2013,4,15,1430,1,1741,-2,DL,N341NW,2175,LGA,MIA,141,1096,14,30
2013,9,16,1557,-3,1839,4,DL,N907DE,221,LGA,ATL,107,762,15,57
2013,8,22,632,-2,902,35,US,N186US,745,EWR,CLT,98,529,6,32
2013,1,30,702,2,854,15,UA,N437UA,393,LGA,ORD,139,733,7,2
2013,3,20,1200,0,1310,-29,UA,N430UA,394,LGA,ORD,111,733,12,0
2013,11,1,1455,-4,1712,-44,DL,N3736C,500,JFK,LAS,295,2248,14,55
2013,5,8,1056,-3,1332,-8,UA,N846UA,807,EWR,IAH,189,1400,10,56
2013,12,24,1540,40,1830,36,UA,N561UA,488,EWR,IAH,203,1400,15,40
2013,3,5,1721,-8,2023,-27,UA,N805UA,784,EWR,PDX,345,2434,17,21
2013,7,27,730,105,1005,112,UA,N519UA,244,LGA,IAH,187,1416,7,30
2013,9,25,1358,-1,1647,-7,AA,N3CRAA,1151,LGA,DFW,181,1389,13,58
2013,3,2,1558,-2,1926,1,AA,N3HTAA,1467,LGA,MIA,177,1096,15,58
2013,5,20,1709,39,2029,40,UA,N503UA,378,EWR,SFO,331,2565,17,9
2013,8,17,853,3,1235,-13,DL,N3751B,301,JFK,SJU,191,1598,8,53
2013,4,6,1254,-6,1401,-9,US,N961UW,2175,LGA,DCA,45,214,12,54
2013,8,12,914,-1,1221,11,AA,N327AA,1,JFK,LAX,332,2475,9,14
2013,10,23,1133,4,1440,11,AA,N3GFAA,1139,LGA,DFW,208,1389,11,33
2013,3,7,753,-7,855,-22,US,N714US,2165,LGA,DCA,46,214,7,53
2013,9,4,1856,-4,1954,-20,US,N959UW,2160,LGA,BOS,39,184,18,56
2013,8,27,750,-10,1031,-39,DL,N907DL,1271,JFK,FLL,138,1069,7,50
2013,8,8,628,-2,825,-12,US,N163US,2085,LGA,CLT,83,544,6,28
2013,8,26,654,-6,933,-36,DL,N958DL,1879,LGA,FLL,136,1076,6,54
2013,1,28,949,-11,1106,-2,US,N958UW,2122,LGA,BOS,36,184,9,49
2013,8,20,1227,-3,1526,-32,DL,N907DL,2098,LGA,MIA,152,1096,12,27
2013,12,5,1515,20,1819,-1,AA,N3KJAA,2297,LGA,MIA,148,1096,15,15
2013,8,25,1734,-1,2034,-34,DL,N703TW,1543,JFK,SEA,324,2422,17,34
2013,3,29,1005,-9,1250,-22,UA,N14214,1148,EWR,TPA,143,997,10,5
2013,10,10,853,5,1123,13,UA,N57111,1643,EWR,DEN,216,1605,8,53
2013,7,5,726,-4,952,-33,AA,N327AA,33,JFK,LAX,303,2475,7,26
2013,3,16,604,-2,737,-20,UA,N431UA,216,EWR,CLE,72,404,6,4
2013,10,24,1627,-3,2005,25,AA,N329AA,181,JFK,LAX,330,2475,16,27
2013,8,13,1008,23,1126,1,AA,N493AA,317,LGA,ORD,117,733,10,8
2013,10,29,1258,-2,1537,-28,UA,N30401,1158,EWR,MIA,138,1085,12,58
2013,5,24,2014,49,2322,52,AA,N3GDAA,1787,JFK,TPA,138,1005,20,14
2013,2,23,936,-9,1132,-2,UA,N26210,1523,EWR,CLE,75,404,9,36
2013,9,9,1656,-4,1937,-15,DL,N332NB,1585,LGA,MCO,118,950,16,56
2013,1,30,652,-8,804,-3,US,N745VJ,2163,LGA,DCA,47,214,6,52
2013,3,21,1900,0,2152,-34,DL,N938DL,2190,JFK,MIA,152,1089,19,0
2013,3,1,811,-4,1130,3,DL,N932DL,1023,LGA,TPA,165,1010,8,11
2013,3,1,1056,-4,1427,3,DL,N945DL,2261,LGA,MIA,169,1096,10,56
2013,6,18,1254,-6,1401,-8,US,N946UW,2128,LGA,BOS,33,184,12,54
2013,6,1,1000,0,1311,-15,DL,N712TW,1765,JFK,SFO,332,2586,10,0
2013,5,20,1307,-8,1439,-22,US,N562UW,1895,EWR,CLT,72,529,13,7
2013,11,30,1220,-5,1523,-12,AA,N5DTAA,1697,JFK,MIA,160,1089,12,20
2013,4,1,1642,97,2008,106,UA,N11206,1178,EWR,AUS,223,1504,16,42
2013,7,10,1846,17,2134,59,US,N553UW,297,JFK,CLT,96,541,18,46
2013,2,6,740,-5,1115,-10,AA,N383AA,59,JFK,SFO,363,2586,7,40
2013,11,1,854,-5,1147,-12,AA,N3CWAA,1121,LGA,DFW,204,1389,8,54
2013,8,15,1844,-1,1956,-34,AA,N579AA,359,LGA,ORD,103,733,18,44
2013,1,14,1644,-6,1751,-29,AA,N3GGAA,1790,JFK,BOS,42,187,16,44
2013,3,24,1543,-2,1827,3,DL,N398DA,95,JFK,ATL,122,760,15,43
2013,10,8,854,-16,1128,-47,AA,N3EFAA,1121,LGA,DFW,178,1389,8,54
2013,3,31,1557,17,1833,21,UA,N561UA,418,EWR,LAS,317,2227,15,57
2013,7,27,653,-7,814,-21,AA,N502AA,305,LGA,ORD,113,733,6,53
2013,5,31,1732,-3,2117,12,AA,N5EHAA,543,JFK,MIA,148,1089,17,32
2013,1,26,1733,4,2019,-2,UA,N17105,1109,EWR,MCO,137,937,17,33
2013,5,4,1908,-2,2151,-40,DL,N3767,83,JFK,FLL,142,1069,19,8
2013,8,3,1523,23,1814,24,AA,N433AA,883,EWR,DFW,189,1372,15,23
2013,4,16,913,-7,1246,21,AA,N4UCAA,1739,EWR,DFW,194,1372,9,13
2013,5,17,1124,-6,1333,3,US,N558UW,1625,LGA,CLT,78,544,11,24
2013,12,5,856,-4,1122,48,UA,N78866,1030,EWR,ORD,118,719,8,56
2013,6,29,931,7,1325,-3,UA,N16732,1519,EWR,STT,209,1634,9,31
2013,3,3,724,-6,1012,-48,AA,N324AA,33,JFK,LAX,322,2475,7,24
2013,12,4,2018,-1,16,31,UA,N73270,1224,EWR,LAX,379,2454,20,18
2013,9,22,556,-4,836,-14,UA,N36207,1115,EWR,TPA,141,997,5,56
2013,10,20,1630,1,1907,-43,DL,N3772H,1394,JFK,PDX,317,2454,16,30
2013,8,19,1545,15,1908,28,DL,N326US,1935,LGA,TPA,181,1010,15,45
2013,3,7,1855,17,2105,1,UA,N484UA,390,EWR,DEN,226,1605,18,55
2013,11,28,1633,3,2120,-10,AA,N5BYAA,95,JFK,SJU,206,1598,16,33
2013,11,22,1656,56,1827,46,UA,N29717,1051,LGA,ORD,133,733,16,56
2013,12,24,1625,-5,1949,-8,US,N657AW,627,EWR,PHX,309,2133,16,25
2013,3,23,1452,-4,1759,2,UA,N17244,1122,EWR,PBI,170,1023,14,52
2013,8,11,1708,3,1847,9,UA,N16713,1150,EWR,ORD,108,719,17,8
2013,12,27,700,0,1019,-11,DL,N709TW,486,JFK,SLC,283,1990,7,0
2013,3,5,1455,10,1756,-6,DL,N372NW,1531,LGA,RSW,152,1080,14,55
2013,9,22,1120,-5,1235,-35,AA,N3AKAA,327,LGA,ORD,105,733,11,20
2013,2,15,1435,9,1606,-30,DL,N365NW,1819,LGA,MSP,139,1020,14,35
2013,3,5,1244,-6,1440,-10,DL,N357NB,1131,LGA,DTW,94,502,12,44
2013,2,13,1010,-5,1304,-36,US,N677AW,75,EWR,PHX,277,2133,10,10
2013,5,30,1049,-6,1330,-33,DL,N399DA,1275,JFK,SLC,257,1990,10,49
2013,12,4,1815,50,2129,42,UA,N474UA,237,EWR,PDX,330,2434,18,15
2013,4,9,1740,-5,2035,-15,AA,N3HYAA,785,LGA,DFW,203,1389,17,40
2013,10,7,1822,67,2021,44,UA,N523UA,509,LGA,DEN,220,1620,18,22
2013,11,14,1057,-2,1220,-10,UA,N425UA,775,EWR,ORD,113,719,10,57
2013,9,3,736,9,1010,3,UA,N578UA,261,LGA,IAH,180,1416,7,36
2013,3,18,1509,39,1749,14,AA,N4XKAA,883,EWR,DFW,204,1372,15,9
2013,7,17,1722,13,1902,7,UA,N14230,1443,LGA,ORD,104,733,17,22
2013,12,26,1629,44,1918,13,AA,N3BDAA,1156,LGA,DFW,212,1389,16,29
2013,11,8,1927,14,2246,19,UA,N38446,1149,EWR,SEA,346,2402,19,27
2013,1,9,1725,-5,1959,-5,FL,N329AT,623,LGA,ATL,130,762,17,25
2013,8,18,903,22,1139,-3,UA,N537UA,212,EWR,SFO,318,2565,9,3
2013,10,15,2011,66,2236,65,DL,N378DA,2454,JFK,DEN,234,1626,20,11
2013,8,9,702,2,957,-9,DL,N995DL,2003,LGA,MIA,142,1096,7,2
2013,10,31,1449,-6,1606,-7,DL,N318US,1164,JFK,BOS,40,187,14,49
