State,CCN,Provider,Address,City,Zip,Phone,Ownership,PT,DateCertified,Rating,Grade
AL,17082,CV HOME HEALTH OF BIBB COUNTY                     ,142 PIERSON AVENUE                                                                                  ,CENTREVILLE         ,35042,2059263211,Official Health Agency,Yes,11/7/1991 0:00,4,90
AL,17084,KINDRED AT HOME                                   ,200 CENTRAL PARK PLACE                                                                              ,SELMA               ,36701,3348726637,Local,Yes,11/21/1991 0:00,3,89
AL,17085,COOSA VALLEY HOMECARE                             ,"209 WEST SPRING STREET, SUIT 305                                                                    ",SYLACAUGA           ,35150,2562080087,Local,Yes,12/5/1991 0:00,4,92
AL,17086,ALABAMA HOMECARE                                  ,319A MCWILLIAMS AVENUE                                                                              ,CAMDEN              ,36726,3346829050,Local,Yes,1/9/1992 0:00,5,89
AL,17088,FAYETTE MEDICAL CENTER HOMECARE                   ,1653 TEMPLE AVENUE                                                                                  ,FAYETTE             ,35555,2059325961,Local,Yes,12/18/1991 0:00,5,96
AL,17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE                                                                             ,CULLMAN             ,35058,2567372831,Hospital Based Program,Yes,6/11/1992 0:00,3,89
AL,17090,KINDRED AT HOME                                   ,"12731 HIGHWAY 17, SUITE 3                                                                           ",GILBERTOWN          ,36908,2518432808,Local,Yes,6/10/1992 0:00,5,91
AL,17091,HALE COUNTY HOSPITAL HOME HEALTH                  ,506 GREENE STREET                                                                                   ,GREENSBORO          ,36744,3346243066,Hospital Based Program,Yes,6/18/1992 0:00,5,95
AL,17092,ENCOMPASS HOME HEALTH OF ALABAMA                  ,194 WILLIAM E HILL DRIVE                                                                            ,CARROLLTON          ,35447,2053678111,Local,Yes,7/1/1992 0:00,5,92
AL,17093,DEKALB REGIONAL HOME HEALTH                       ,"1706 GLENN BOULEVARD, SUITE 3                                                                       ",FORT PAYNE          ,35968,2565242411,Hospital Based Program,Yes,7/30/1992 0:00,4,91
AL,17094,CHEROKEE HOME HEALTH                              ,"704 CHEROKEE PLAZA, SUITE 9                                                                         ",CENTRE              ,35960,2569271144,Hospital Based Program,Yes,8/13/1992 0:00,5,93
AL,17095,ATHENS-LIMESTONE HOMECARE                         ,"725 WEST MARKET STREET, SUITE A                                                                     ",ATHENS              ,35611,2562339533,Local,Yes,8/12/1992 0:00,4,90
AL,17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH          ,798 HIGHWAY 231 SOUTH                                                                               ,TROY                ,36081,3344034520,Local,Yes,10/27/1992 0:00,4,90
AL,17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC               ",83825 HIGHWAY 9                                                                                     ,ASHLAND             ,36251,2563540077,Local,Yes,10/27/1992 0:00,5,91
AL,17100,MARION REGIONAL HOMECARE                          ,"234 1ST AVENUE SW, SUITE 2                                                                          ",HAMILTON            ,35570,2059210391,Official Health Agency,Yes,10/29/1992 0:00,5,95
AL,17102,GREEN COUNTY HEALTH SYSTEM HOME HEALTH AGENCY     ,"607 WILSON AVENUE, SUITE 3                                                                          ",EUTAW               ,35462,2053723399,Hospital Based Program,Yes,12/17/1992 0:00,,87
AL,17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH  ,105 HIGHWAY 80 EAST                                                                                 ,DEMOPOLIS           ,36732,3342890701,Combination Government Voluntary,Yes,12/23/1992 0:00,4,89
AL,17104,HIGHLANDS HOME HEALTH                             ,901 HEROES DRIVE                                                                                    ,SCOTTSBORO          ,35768,2562594840,Hospital Based Program,Yes,1/13/1993 0:00,5,95
AL,17106,EVERGREEN HOME CARE                               ,308 SOUTH MAIN STREET                                                                               ,EVERGREEN           ,36401,2515786800,Hospital Based Program,No,1/12/1993 0:00,5,89
AL,17107,SUNCREST HOME HEALTH                              ,"222-224 7TH STREET SOUTH, SUITE 224                                                                 ",CLANTON             ,35045,2052804663,Local,Yes,5/24/1993 0:00,4,89
AL,17109,NORTHWEST HOME HEALTH - HALEYVILLE                ,42030 HIGHWAY 195 SUITE D                                                                           ,HALEYVILLE          ,35565,2054857341,Hospital Based Program,Yes,6/23/1993 0:00,5,95
AL,17112,JACKSON MEDICAL CENTER HOME HEALTH                ,3748N COLLEGE AVENUE                                                                                ,JACKSON             ,36545,2512470424,Hospital Based Program,Yes,6/29/1993 0:00,5,93
AL,17115,GADSDEN REGIONAL HOME HEALTH                      ,301 S 4TH STREET                                                                                    ,GADSDEN             ,35901,2565382273,Local,Yes,7/27/1993 0:00,4,91
AL,17116,IVY CREEK HOME HEALTH OF ELMORE                   ,500 HOSPITAL DRIVE                                                                                  ,WETUMPKA            ,36092,3345677710,Hospital Based Program,Yes,7/26/1993 0:00,4,92
AL,17117,LAKE MARTIN HOME HEALTH                           ,729 EAST SOUTH STREET                                                                               ,DADEVILLE           ,36853,2568257050,Hospital Based Program,Yes,7/29/1993 0:00,4,92
AL,17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER    ","15190 COURT STREET, SUITE B                                                                         ",MOULTON             ,35650,2569742200,Local,Yes,8/17/1993 0:00,4,90
AL,17119,HUNTSVILLE HOSPITAL HOMECARE                      ,"500 BOULEVARD SOUTH SW, SUITE 203                                                                   ",HUNTSVILLE          ,35802,2569226650,Local,Yes,9/20/1993 0:00,4,88
AL,17121,KINDRED AT HOME                                   ,1309 ANTIOCH ROAD                                                                                   ,ANDALUSIA           ,36420,3342222172,Local,Yes,9/27/1993 0:00,5,94
AL,17123,EAMC - LANIER HOME HEALTH                         ,1806 44TH ST.                                                                                       ,VALLEY              ,36854,3347561950,Local,Yes,10/21/1993 0:00,5,92
AL,17124,DALE MEDICAL CTR HOME HEALTH                      ,126 HOSPITAL AVENUE                                                                                 ,OZARK               ,36360,3347740750,Hospital Based Program,Yes,10/20/1993 0:00,5,93
AL,17125,KELLER HOME CARE                                  ,116 4TH AVENUE SE                                                                                   ,RED BAY             ,35582,2563568160,Local,Yes,1/20/1994 0:00,5,91
AL,17127,SOUTH BALDWIN REGIONAL HOME HEALTH                ,110 ELECIA LANE                                                                                     ,FOLEY               ,36535,2514241045,Official Health Agency,Yes,2/15/1994 0:00,4,89
AL,17128,MEDICAL CENTERS HOMECARE                          ,11687 US HWY 431                                                                                    ,GUNTERSVILLE        ,35976,2568785811,Local,Yes,2/3/1994 0:00,5,93
AL,17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER           ,"665 OPELIKA ROAD, SUITE 300                                                                         ",AUBURN              ,36830,3348263131,Local,Yes,3/31/1994 0:00,5,91
AL,17130,INFIRMARY HOMECARE                                ,800 COLLEGE AVENUE                                                                                  ,JACKSON             ,36545,2512626477,Local,Yes,4/13/1994 0:00,5,93
AL,17132,BROOKDALE HOME HEALTH BIRMINGHAM                  ,"1104 2ND AVE EAST, SUITE C                                                                          ",ONEONTA             ,35121,2052740720,Local,Yes,6/15/1994 0:00,3,92
AL,17134,LHC HOMECARE OF SOUTH ALABAMA                     ,"1802 US HIGHWAY 84 WEST, SUITE A                                                                    ",OPP                 ,36467,3344932087,Local,Yes,6/14/1994 0:00,5,93
AL,17135,COMMUNITY HOME CARE                               ,1526 GILMER AVENUE                                                                                  ,TALLASSEE           ,36078,3342836541,Hospital Based Program,Yes,9/27/1994 0:00,5,97
AL,17136,RELIABLE HOME HEALTH                              ,435 MEETING AVENUE                                                                                  ,GEORGIANA           ,36033,3343762286,Hospital Based Program,Yes,9/26/1994 0:00,5,94
AL,17138,L V STABLER MEMORIAL HOME HEALTH                  ,"104 CAMELLIA AVENUE, SUITE B                                                                        ",GREENVILLE          ,36037,3343832286,Hospital Based Program,Yes,10/18/1994 0:00,4,90
AL,17139,ASSOCIATES HOME HEALTH SERVICES                   ,102 WEST CONECUH AVE                                                                                ,UNION SPRINGS       ,36089,3347384155,Hospital Based Program,Yes,12/12/1994 0:00,,92
AL,17140,THE HOSPITAL HOME HEALTH                          ,54 ROY BEALL DRIVE                                                                                  ,LUVERNE             ,36049,3343353374,Hospital Based Program,Yes,12/28/1994 0:00,,95
AL,17142,"ATMORE COMMUNITY HOME CARE, LLC                   ","121 LINDBERG AVENUE, SUITE C                                                                        ",ATMORE              ,36502,2513686286,Local,Yes,2/13/1995 0:00,4,91
AL,17143,D W MCMILLAN HOME HEALTH                          ,114 W JACKSON STREET                                                                                ,BREWTON             ,36426,2518675054,Local,Yes,1/23/1995 0:00,5,94
AL,17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY        ,"2401 STEMLEY BRIDGE ROAD, SUITE 7                                                                   ",PELL CITY           ,35128,2058847202,Local,Yes,11/29/1995 0:00,5,92
AL,17146,NORTHWEST HOME HEALTH                             ,"711 HOSPITAL DRIVE, NE                                                                              ",RUSSELLVILLE        ,35653,2563310006,Hospital Based Program,Yes,10/1/1998 0:00,5,98
AL,17147,PRIME HOME HEALTH OF LEE COUNTY                   ,2125 EXECUTIVE PARK DRIVE                                                                           ,OPELIKA             ,36801,3347457966,Local,Yes,2/18/1999 0:00,5,93
AL,17148,THOMAS HOME HEATLH                                ,"7530 PARKER ROAD, SUITE 200                                                                         ",FAIRHOPE            ,36532,2519909200,Local,Yes,4/13/2000 0:00,3,89
AL,17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY      ,"1400 URBAN CENTER DRIVE, SUITE 240                                                                  ",BIRMINGHAM          ,35242,2053132800,Local,Yes,7/12/2000 0:00,4,92
AL,17151,KINDRED AT HOME                                   ,1328 GREENBRIER-DEAR ROAD                                                                           ,ANNISTON            ,36207,2568357101,Local,Yes,10/5/2000 0:00,5,91
AL,17152,KINDRED AT HOME                                   ,1025 WEST FORT WILLIAMS ST                                                                          ,SYLACAUGA           ,35150,2562494363,Local,Yes,10/5/2000 0:00,5,92
AL,17153,COMFORT CARE HOME HEALTH OF ALABASTER             ,"1140 1ST STREET N, STE 200                                                                          ",ALABASTER           ,35007,2056850421,Local,Yes,3/20/2002 0:00,4,92
AL,17154,AMEDISYS HOME HEALTH                              ,"4735 NORREL DRIVE, SUITE 125                                                                        ",TRUSSVILLE          ,35173,2056553707,Local,Yes,2/20/2003 0:00,4,92
AL,17155,ALACARE HOME HEALTH & HOSPICE (MOBILE)            ,6333 COTTAGE HILL ROAD                                                                              ,MOBILE              ,36609,2513410707,Local,Yes,2/5/2004 0:00,4,91
AL,17156,CITIZENS BAPTIST HOME HEALTH                      ,403 MEDICAL OFFICE PARK                                                                             ,TALLADEGA           ,35160,2563628111,Hospital Based Program,Yes,8/25/2004 0:00,4,89
AL,17157,AMEDISYS HOME HEALTH OF OPELIKA                   ,"3320 SKYWAY DRIVE, SUITE 804                                                                        ",OPELIKA             ,36801,3348877234,Local,Yes,3/9/2006 0:00,4,91
AL,17158,AMEDISYS HOME HEALTH OF FORT PAYNE                ,501 GREENHILL BLVD SUITE 150                                                                        ,FORT PAYNE          ,35967,2568448303,Local,Yes,7/11/2006 0:00,5,91
AL,17159,AMEDISYS HOME HEALTH                              ,2560 COUNTY ROAD 112                                                                                ,DOTHAN              ,36303,8662050818,Local,Yes,7/26/2006 0:00,4,89
AL,17160,ENCOMPASS HEALTH HOME HEALTH                      ,205 FOB JAMES DRIVE                                                                                 ,VALLEY              ,36854,3347566225,Local,Yes,9/13/2006 0:00,5,92
AL,17161,KINDRED AT HOME                                   ,"7067 OLD MADISON PIKE NW, SUITE 105                                                                 ",HUNTSVILLE          ,35806,2568813266,Local,Yes,3/15/2007 0:00,4,91
AL,17163,AMEDISYS HOME HEALTH OF MONROEVILLE               ,15 MAYFIELD STREET                                                                                  ,MONROEVILLE         ,36460,2512498552,Local,Yes,4/12/2007 0:00,4,91
AL,17164,KINDRED AT HOME                                   ,2740 HEADLAND AVE                                                                                   ,DOTHAN              ,36303,3349442290,Local,Yes,2/27/2008 0:00,4,92
AL,17165,AMEDISYS HOME HEALTH OF FLORENCE                  ,"412 S COURT STREET, SUITE 403                                                                       ",FLORENCE            ,35630,2567661817,Local,Yes,4/10/2008 0:00,4,93
AL,17166,KINDRED AT HOME                                   ,118 6TH STREET SOUTH                                                                                ,CLANTON             ,35045,2057559926,Local,Yes,5/11/2009 0:00,4,91
AL,17167,KINDRED AT HOME                                   ,614 MARTIN ST N                                                                                     ,PELL CITY           ,35125,2053388440,Local,Yes,5/20/2009 0:00,5,92
AL,17168,KINDRED AT HOME                                   ,824 WESTERN AMERICA DRIVE                                                                           ,MOBILE              ,36609,2513160917,Local,Yes,5/21/2009 0:00,5,92
AL,17169,CP HOME CARE VANCE LLC                            ,17035 HWY 11 NORTH                                                                                  ,VANCE               ,35490,2055629615,Official Health Agency,Yes,12/15/2010 0:00,2,85
AL,17170,KINDRED AT HOME                                   ,1458 JONES DAIRY ROAD SUITE 100                                                                     ,JASPER              ,35501,2052215234,Local,Yes,9/4/2009 0:00,5,93
AL,17171,KINDRED AT HOME                                   ,"1015 1ST STREET, SW, SUITE A                                                                        ",CULLMAN             ,35055,2567392992,Local,Yes,9/2/2009 0:00,5,89
AL,17172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC           ",1910 CHEROKEE AVENUE SW                                                                             ,CULLMAN             ,35055,2568414443,Local,Yes,6/30/2011 0:00,4,93
AL,17175,BROOKWOOD HOME HEALTH LLC                         ,"801 PRINCETON AVE SW, SUITE 210                                                                     ",BIRMINGHAM          ,35211,2059495510,Local,Yes,5/24/2013 0:00,5,91
AL,17176,COMFORT CARE HOME HEALTH OF NORTH ALABAMA         ,"7017 WALL TRIANA HIGHWAY, SUITE D                                                                   ",MADISON             ,35757,2563468223,Local,Yes,6/12/2013 0:00,3,87
AL,17177,"SHOALS HOME SERVICES, LLC                         ",1114 BRADSHAW DRIVE                                                                                 ,FLORENCE            ,35630,2562469972,Local,Yes,8/15/2013 0:00,5,94
AL,17178,"PROHEALTH OF NORTHEAST ALABAMA, LLC               ","1496 CHESTNUT BYP, UNIT D                                                                           ",CENTRE              ,35960,2053833538,Local,Yes,12/18/2015 0:00,4,92
AL,17179,"PROHEALTH OF NORTH CENTRAL ALABAMA, LLC           ",923 2ND E AVENUE                                                                                    ,ONEONTA             ,35121,2052740020,Local,Yes,12/4/2015 0:00,3,87
AL,17180,"PROHEALTH-GULF COAST, LLC                         ",105B LOTTIE LANE                                                                                    ,FAIRHOPE            ,36532,8663300609,Local,Yes,12/23/2015 0:00,2,87
AL,17182,FIVE POINTS HOME HEALTH                           ,"100 CONCOURSE PARKWAY, SUITE 120                                                                    ",HOOVER              ,35244,2052353232,Local,Yes,8/19/2016 0:00,,88
AL,17300,AMEDISYS HOME HEALTH OF TUSCALOOSA                ,"1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320                                                      ",TUSCALOOSA          ,35406,2057520606,Local,Yes,9/17/1976 0:00,4,90
AL,17305,AMEDISYS HOME HEALTH OF ANNISTON                  ,"171 TOWN CENTER DR, SUITE MPS-4                                                                     ",ANNISTON            ,36205,2568202503,Local,Yes,9/20/1979 0:00,5,93
AL,17307,KINDRED AT HOME                                   ,"5009 RIVER CHASE DRIVE, BLDG 100, SUITE D                                                           ",PHENIX CITY         ,36867,3342976900,Local,Yes,5/4/1982 0:00,4,91
AL,17319,AMEDISYS HOME HEALTH OF MONTGOMERY                ,"300 INTERSTATE PARK DRIVE, SUITE 324                                                                ",MONTGOMERY          ,36109,3342720313,Local,Yes,2/1/1994 0:00,3,88
AL,17320,AMEDISYS HOME HEALTH OF SELMA                     ,108 EXECUTIVE PARK LANE                                                                             ,SELMA               ,36701,3348752550,Local,Yes,10/31/1991 0:00,5,91
AL,17323,MONROE CO HOSP PROGRESSIVE HOM                    ,DR WOODROW EDDINS MED DR-P.O. 886                                                                   ,MONROEVILLE         ,36461,2517437328,Official Health Agency,Yes,3/6/1995 0:00,4,90
AL,17324,ALACARE HOME HEALTH AND HOSPICE                   ,824 HIGHWAY 231 SOUTH                                                                               ,TROY                ,36081,3345669238,Local,Yes,11/13/2002 0:00,4,91
AL,17326,ALACARE HOME HEALTH & HOSPICE                     ,"1690 BELTLINE ROAD, STE B                                                                           ",DECATUR             ,35601,2563555746,Local,Yes,10/12/2001 0:00,5,94
AL,17327,AMEDISYS HOME HEALTH OF WALKER                    ,100 HIGHWAY 78 WEST                                                                                 ,JASPER              ,35501,2052952434,Local,Yes,8/3/2005 0:00,5,94
AL,17328,AMEDISYS HOME HEALTH OF BREWTON                   ,2554 DOUGLAS AVENUE                                                                                 ,BREWTON             ,36426,2518091717,Local,Yes,1/18/2006 0:00,5,92
AL,17803,BARBOUR COUNTY HOME CARE                          ,39 BROWDER STREET                                                                                   ,CLAYTON             ,36016,3347759044,Official Health Agency,Yes,7/1/1966 0:00,5,92
AL,17817,NORTHWEST ALABAMA REGIONAL HOME CARE              ,1000 SOUTH JACKSON HIGHWAY                                                                          ,SHEFFIELD           ,35660,2563831234,Local,Yes,7/1/1966 0:00,,95
AL,17818,CONECUH COUNTY HOME CARE                          ,102 WILD AVENUE                                                                                     ,EVERGREEN           ,36401,2515785265,Official Health Agency,Yes,7/1/1966 0:00,,98
AL,17824,DALLAS COUNTY HOME CARE                           ,100 SAMUEL O. MOSLEY DR                                                                             ,SELMA               ,36701,3348722323,Local,No,3/6/1969 0:00,,84
AL,17828,ETOWAH COUNTY HOME CARE                           ,709 EAST BROAD STREET                                                                               ,GADSDEN             ,35903,2565475012,Official Health Agency,Yes,7/1/1966 0:00,4,90
AL,17831,GENEVA COUNTY HOME CARE                           ,300 COUNTY ROAD 41                                                                                  ,HARTFORD            ,36344,3346842259,Official Health Agency,Yes,7/1/1966 0:00,,
AL,17835,HOUSTON COUNTY HOME CARE                          ,1781 E COTTONWOOD ROAD                                                                              ,DOTHAN              ,36302,3346782805,Local,Yes,7/1/1966 0:00,5,89
AL,17847,MARION COUNTY HOME CARE                           ,"2448 MILITARY STREET, SOUTH                                                                         ",HAMILTON            ,35570,2059212859,Local,Yes,7/1/1966 0:00,5,94
AL,17848,MARSHALL COUNTY HOME CARE                         ,150 JUDY SMITH DRIVE                                                                                ,GUNTERSVILLE        ,35976,2565828425,Official Health Agency,Yes,3/26/1969 0:00,,91
AL,17850,MONROE COUNTY HOME CARE                           ,416 AGRICULTURE DRIVE                                                                               ,MONROEVILLE         ,36460,2515752980,Official Health Agency,Yes,8/14/1969 0:00,,92
AL,17856,RANDOLPH COUNTY HOME CARE                         ,320 MAIN STREET                                                                                     ,ROANOKE             ,36274,3348638983,Local,Yes,7/1/1966 0:00,,96
AL,17861,TALLADEGA COUNTY HOME CARE AGENCY                 ,311 NORTH ELM AVENUE                                                                                ,SYLACAUGA           ,35150,2562494893,Local,Yes,7/1/1966 0:00,,83
AL,17863,TUSCALOOSA COUNTY HOME CARE                       ,2350 HARGROVE ROAD EAST                                                                             ,TUSCALOOSA          ,35405,2055544520,Official Health Agency,Yes,7/1/1966 0:00,,85
AL,17865,WASHINGTON COUNTY HOME CARE                       ,14900 SAINT STEPHENS AVENUE                                                                         ,CHATOM              ,36518,2518472257,Official Health Agency,No,1/10/1969 0:00,,96
AL,17867,WINSTON COUNTY HOME CARE                          ,110 LEGION ROAD                                                                                     ,DOUBLE SPRINGS      ,35553,2054863159,Local,Yes,7/1/1966 0:00,5,96
AL,17872,LAMAR COUNTY HOME CARE                            ,300 SPRINGFIELD ROAD                                                                                ,VERNON              ,35592,2056956916,Official Health Agency,Yes,5/2/1985 0:00,4,91
AL,17873,MORGAN COUNTY HOME CARE AGENCY                    ,3821 US HIGHWAY 31                                                                                  ,DECATUR             ,35603,2563062400,Official Health Agency,Yes,2/25/1987 0:00,,92
AL,17876,LAWRENCE COUNTY HOME CARE                         ,"13299 ALABAMA HIGHWAY 157, P O BOX 308                                                              ",MOULTON             ,35650,2569747076,Official Health Agency,Yes,4/5/1988 0:00,2,83
AK,27001,PROVIDENCE IN HOME SERVICES                       ,"4001 DALE STREET, SUITE 101                                                                         ",ANCHORAGE           ,99508,9075630130,Local,Yes,5/17/1982 0:00,2,84
AK,27002,HOSPICE & HOME CARE OF JUNEAU                     ,419 SIXTH STREET                                                                                    ,JUNEAU              ,99801,9074633113,Official Health Agency,Yes,12/27/1982 0:00,,89
AK,27006,FAIRBANKS MEMORIAL HOSPITAL HHA                   ,1701 GILLAM WAY                                                                                     ,FAIRBANKS           ,99701,9074585410,Hospital Based Program,Yes,9/19/1985 0:00,3,87
AK,27007,SITKA COMMUNITY HOSPITAL HHA                      ,209 MOLLER AVENUE                                                                                   ,SITKA               ,99835,9077471750,Hospital Based Program,Yes,9/26/1985 0:00,,
AK,27008,MAT-SU REGIONAL HOME CARE                         ,"950 E BOGARD, STE 132                                                                               ",WASILLA             ,99654,9078616000,Local,Yes,1/22/1987 0:00,3,86
AK,27009,PETERSBURG MEDICAL CENTER HOME                    ,P.O. BOX 589                                                                                        ,PETERSBURG          ,99833,9077724291,Official Health Agency,Yes,7/21/1987 0:00,,
AK,27010,SOUTH PENINSULA HOSPITAL HHA                      ,4300 BARTLETT STREET                                                                                ,HOMER               ,99603,9072350369,Hospital Based Program,Yes,2/20/1990 0:00,,96
